Time (s),X (m),Y (m),Velocity (m/s),Acceleration (g),Mass (kg),Thrust (N),Drag (custom),Comment
2.23,0,222.991711728,93.6783062952,-0.668057843772,1.4968536,0.0,-9.80985077477,
2.24,0,223.927839426,93.61276982,-0.668057857976,1.4968536,0.0,-9.80985098335,
2.25,0,224.863311759,93.5472333435,-0.66805787217,1.4968536,0.0,-9.80985119177,
2.26,0,225.798128728,93.4816968655,-0.668057886354,1.4968536,0.0,-9.80985140006,
2.27,0,226.732290332,93.4161603862,-0.668057900528,1.4968536,0.0,-9.80985160819,
2.28,0,227.665796571,93.3506239054,-0.668057914693,1.4968536,0.0,-9.80985181618,
2.29,0,228.598647445,93.2850874233,-0.668057928847,1.4968536,0.0,-9.80985202403,
2.3,0,229.530842954,93.2195509398,-0.668057942991,1.4968536,0.0,-9.80985223173,
2.31,0,230.462383099,93.1540144549,-0.668057957126,1.4968536,0.0,-9.80985243928,
2.32,0,231.393267879,93.0884779686,-0.668057971251,1.4968536,0.0,-9.80985264669,
2.33,0,232.323497294,93.0229414809,-0.668057985365,1.4968536,0.0,-9.80985285395,
2.34,0,233.253071343,92.9574049919,-0.66805799947,1.4968536,0.0,-9.80985306107,
2.35,0,234.181990028,92.8918685014,-0.668058013565,1.4968536,0.0,-9.80985326804,
2.36,0,235.110253349,92.8263320096,-0.66805802765,1.4968536,0.0,-9.80985347486,
2.37,0,236.037861304,92.7607955164,-0.668058041725,1.4968536,0.0,-9.80985368154,
2.38,0,236.964813894,92.6952590218,-0.66805805579,1.4968536,0.0,-9.80985388807,
2.39,0,237.891111119,92.6297225259,-0.668058069845,1.4968536,0.0,-9.80985409446,
2.4,0,238.816752979,92.5641860285,-0.66805808389,1.4968536,0.0,-9.8098543007,
2.41,0,239.741739475,92.4986495298,-0.668058097925,1.4968536,0.0,-9.80985450679,
2.42,0,240.666070605,92.4331130297,-0.66805811195,1.4968536,0.0,-9.80985471274,
2.43,0,241.58974637,92.3675765282,-0.668058125965,1.4968536,0.0,-9.80985491854,
2.44,0,242.512766771,92.3020400254,-0.668058139971,1.4968536,0.0,-9.8098551242,
2.45,0,243.435131806,92.2365035212,-0.668058153966,1.4968536,0.0,-9.80985532971,
2.46,0,244.356841476,92.1709670156,-0.668058167952,1.4968536,0.0,-9.80985553508,
2.47,0,245.277895781,92.1054305086,-0.668058181927,1.4968536,0.0,-9.8098557403,
2.48,0,246.198294721,92.0398940003,-0.668058195893,1.4968536,0.0,-9.80985594537,
2.49,0,247.118038296,91.9743574906,-0.668058209849,1.4968536,0.0,-9.8098561503,
2.5,0,248.037126506,91.9088209795,-0.668058223795,1.4968536,0.0,-9.80985635508,
2.51,0,248.95555935,91.8432844671,-0.66805823773,1.4968536,0.0,-9.80985655972,
2.52,0,249.87333683,91.7777479533,-0.668058251656,1.4968536,0.0,-9.80985676421,
2.53,0,250.790458944,91.7122114381,-0.668058265572,1.4968536,0.0,-9.80985696855,
2.54,0,251.706925694,91.6466749216,-0.668058279478,1.4968536,0.0,-9.80985717275,
2.55,0,252.622737078,91.5811384037,-0.668058293375,1.4968536,0.0,-9.8098573768,
2.56,0,253.537893096,91.5156018844,-0.668058307261,1.4968536,0.0,-9.80985758071,
2.57,0,254.45239375,91.4500653638,-0.668058321137,1.4968536,0.0,-9.80985778447,
2.58,0,255.366239038,91.3845288418,-0.668058335003,1.4968536,0.0,-9.80985798808,
2.59,0,256.279428962,91.3189923185,-0.66805834886,1.4968536,0.0,-9.80985819155,
2.6,0,257.19196352,91.2534557938,-0.668058362706,1.4968536,0.0,-9.80985839488,
2.61,0,258.103842712,91.1879192677,-0.668058376543,1.4968536,0.0,-9.80985859805,
2.62,0,259.01506654,91.1223827403,-0.668058390369,1.4968536,0.0,-9.80985880109,
2.63,0,259.925635002,91.0568462115,-0.668058404186,1.4968536,0.0,-9.80985900397,
2.64,0,260.835548099,90.9913096814,-0.668058417993,1.4968536,0.0,-9.80985920671,
2.65,0,261.74480583,90.9257731499,-0.66805843179,1.4968536,0.0,-9.8098594093,
2.66,0,262.653408196,90.8602366171,-0.668058445576,1.4968536,0.0,-9.80985961175,
2.67,0,263.561355197,90.7947000829,-0.668058459353,1.4968536,0.0,-9.80985981405,
2.68,0,264.468646833,90.7291635473,-0.66805847312,1.4968536,0.0,-9.80986001621,
2.69,0,265.375283103,90.6636270104,-0.668058486877,1.4968536,0.0,-9.80986021822,
2.7,0,266.281264007,90.5980904722,-0.668058500624,1.4968536,0.0,-9.80986042009,
2.71,0,267.186589547,90.5325539326,-0.668058514362,1.4968536,0.0,-9.80986062181,
2.72,0,268.091259721,90.4670173917,-0.668058528089,1.4968536,0.0,-9.80986082338,
2.73,0,268.995274529,90.4014808494,-0.668058541806,1.4968536,0.0,-9.80986102481,
2.74,0,269.898633972,90.3359443058,-0.668058555514,1.4968536,0.0,-9.80986122609,
2.75,0,270.80133805,90.2704077608,-0.668058569211,1.4968536,0.0,-9.80986142722,
